,거래일자,업체명,금액
463,2022-01-02,세븐일레븐 관악점,2400
464,2022-01-02,주)스타벅스커피코리아,8200
465,2022-01-01,현대오일뱅크(주)직영동작주유소,5000
466,2021-12-31,카페리빈 강남점,1600
467,2021-12-30,써브웨이 강남우성점,8900
468,2021-12-29,써브웨이 강남우성점,11400
469,2021-12-28,씨유역삼푸른점,8100
470,2021-12-27,(주)신세계백화점강남점,589000
471,2021-12-27,리안헤어,35000
472,2021-12-27,SK텔레콤-자동납부,84750
473,2021-12-24,KB국민카드_카카오페이(일반)_개인영세,16000
474,2021-12-24,카카오페이(택시),15900
475,2021-12-24,가온약국,79300
476,2021-12-24,밝은눈안과의원,1800000
477,2021-12-24,KB국민카드_카카오페이(일반)_법인,2000
478,2021-12-24,KB국민카드_카카오페이(일반)_개인영세,12100
479,2021-12-24,카카오페이(택시),14700
480,2021-12-24,KB국민카드_카카오페이(일반)_개인영세,11900
481,2021-12-24,카카오페이(택시),12200
482,2021-12-23,UT 택시,9900
483,2021-12-22,UT 택시,1000
484,2021-12-22,카츠오우 역삼점,9500
485,2021-12-22,카페리빈 강남점,14800
486,2021-12-22,KB국민카드_카카오페이(일반)_법인,500
487,2021-12-22,KB국민카드_카카오페이(일반)_개인영세,11200
488,2021-12-22,카카오페이(택시),10900
489,2021-12-21,KB국민카드_카카오페이(일반)_법인,9500
490,2021-12-21,KB국민카드_카카오페이(일반)_법인,1500
491,2021-12-21,카카오페이(택시),10700
492,2021-12-21,애체안경콘택트  (아이패밀리역삼점),379000
493,2021-12-21,KB국민카드_카카오페이(일반)_개인영세,13100
494,2021-12-21,카카오페이(택시),13600
495,2021-12-20,씨유역삼푸른점,3000
496,2021-12-20,KB국민카드_카카오페이(일반)_법인,500
497,2021-12-20,KB국민카드_카카오페이(일반)_법인,11900
498,2021-12-20,카카오페이(택시),13000
499,2021-12-19,UT 택시,5800
500,2021-12-19,UT 택시,1000
501,2021-12-19,카페리빈 강남점,8800
502,2021-12-19,타다(TADA)_1,24200
503,2021-12-19,UT 택시,1000
504,2021-12-18,KB국민카드_카카오페이(일반)_법인,11200
505,2021-12-18,KB국민카드_카카오페이(일반)_법인,3000
506,2021-12-18,카카오페이(택시),13600
507,2021-12-16,씨유역삼푸른점,1500
508,2021-12-16,구글플레이,2400
509,2021-12-14,씨유역삼푸른점,1400
510,2021-12-14,SK에너지(주)신봉천주유소,5000
511,2021-12-13,인사이드,13000
512,2021-12-12,(주)성웅유통,14130
513,2021-12-12,(주)영풍문고,108300
514,2021-12-09,투썸플레이스 파이낸셜뉴스빌딩점,5600
515,2021-12-06,(주)한유에너지행운주유소,6000
516,2021-12-06,씨유역삼푸른점,5700
517,2021-12-05,이마트24 관악행운점,6100
518,2021-12-05,카페리빈 강남점,4500
519,2021-12-03,지하철 5 건,6250
520,2021-12-03,유튜브프리미엄,8690
521,2021-12-02,(주)성웅유통,16220
522,2021-12-02,와플대학 강남역지하상가캠퍼스,3400
523,2021-12-01,타다(TADA)_1,20200
524,2021-12-01,UT 택시,1000
525,2021-12-01,티머니 고속버스,17100
526,2021-12-01,카페리빈 강남점,14000
527,2021-11-30,지하철 10 건,12250
528,2021-11-30,우버(UBER),6900
529,2021-11-30,우버(UBER),1000
530,2021-11-28,(주)성웅유통,30810
531,2021-11-27,(주)성웅유통,9180
532,2021-11-26,카페리빈 강남점,4500
533,2021-11-26,SK텔레콤-자동납부,81830
534,2021-11-25,타다(TADA)_1,11000
535,2021-11-25,우버(UBER),1000
536,2021-11-24,우버(UBER),1000
537,2021-11-24,우버(UBER),100
538,2021-11-23,대성석유(주)연일주유소,7000
539,2021-11-22,카페리빈 강남점,3900
540,2021-11-22,카페리빈 강남점,5300
541,2021-11-20,리안헤어,18000
542,2021-11-20,(주)성웅유통,27780
543,2021-11-20,KB국민카드_카카오페이(일반)_법인,10700
544,2021-11-20,카카오페이(택시),11300
545,2021-11-19,카페리빈 강남점,4500
546,2021-11-18,고품격커피공장(뱅뱅사거리점),16000
547,2021-11-16,자판기,1800
548,2021-11-16,구글플레이,2400
549,2021-11-15,(주)한유에너지행운주유소,5000
550,2021-11-15,천사온누리약국,16200
551,2021-11-15,중앙대학교병원 창구,176100
552,2021-11-14,장인닭갈비,28000
553,2021-11-14,비알코리아(주)강남본점,5100
554,2021-11-14,(주)성웅유통,7250
555,2021-11-13,지하철 20 건,25550
556,2021-11-13,(주)성웅유통,5900
557,2021-11-13,(주)이마트 이수점,58740
558,2021-11-13,카페리빈 강남점,1600
559,2021-11-13,롯데쇼핑(주)수원점(매장)-일마레,49000
560,2021-11-13,관악시몬주유소,5000
561,2021-11-11,A타워약국,4000
562,2021-11-11,중앙대학교병원 창구,36800
563,2021-11-11,매머드커피 강남대로점 (114호점),13000
564,2021-11-11,SSG.COM,20470
565,2021-11-10,씨유역삼푸른점,1500
566,2021-11-08,카페리빈 강남점,14000
567,2021-11-08,카페리빈 강남점,4500
568,2021-11-07,롯데리아 봉천점,7500
569,2021-11-06,써브웨이 강남우성점,7300
570,2021-11-05,주식회사코르피아,1300
571,2021-11-05,우정사업본부(우체국),4500
572,2021-11-04,파라노이드 강남뱅뱅,7920
573,2021-11-03,유튜브프리미엄,8690
574,2021-10-31,주식회사 아성다이소,1000
575,2021-10-31,주식회사 아성다이소,2000
576,2021-10-31,KB국민카드_카카오페이(일반)_법인,3000
577,2021-10-31,KB국민카드_카카오페이(일반)_개인영세,9700
578,2021-10-30,지하철 24 건,29250
579,2021-10-30,구글플레이,2500
580,2021-10-30,카카오페이(택시),12500
581,2021-10-30,카페리빈 강남점,11500
582,2021-10-30,고품격커피공장(뱅뱅사거리점),9000
583,2021-10-30,리드팜힘찬약국,10300
584,2021-10-30,조내과의원,6100
